AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE,GYEAR,G_ID
0.200,5,5,0,1,0,0,0,0,0,0,0,0,2,0,0.248,50854,2021,20210604
0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.23800000000000002,50854,2021,20210605
-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23800000000000002,50854,2021,20210606
0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0.237,50854,2021,20210608
0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.237,50854,2021,20210609
0.400,5,5,1,2,0,0,0,0,1,0,0,0,0,1,0.243,50854,2021,20210611
0.250,5,4,2,1,0,0,0,0,1,0,1,0,0,0,0.243,50854,2021,20210612
0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.243,50854,2021,20210613
0.200,6,5,1,1,1,0,0,2,0,0,1,0,0,0,0.242,50854,2021,20210616
0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.239,50854,2021,20210616
0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.233,50854,2021,20210617
0.667,3,3,1,2,0,1,0,0,1,0,0,0,1,0,0.24100000000000002,50854,2021,20210618
0.200,5,5,0,1,0,0,0,0,0,1,0,0,1,0,0.24,50854,2021,20210619
1.000,4,3,1,3,0,0,1,1,1,0,0,1,0,0,0.253,50854,2021,20210620
0.333,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0.254,50854,2021,20210622
0.250,5,4,1,1,1,0,0,1,0,0,0,0,0,0,0.254,50854,2021,20210623
0.333,5,3,0,1,0,0,0,2,0,0,1,0,1,0,0.256,50854,2021,20210624
0.500,6,4,2,2,1,0,0,1,0,0,2,0,0,0,0.261,50854,2021,20210625
0.400,6,5,1,2,0,0,0,0,1,0,0,0,1,0,0.265,50854,2021,20210626
0.500,5,2,2,1,0,0,0,0,1,0,3,0,1,0,0.267,50854,2021,20210627
0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0.265,50854,2021,20210629
0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.27,50854,2021,20210630
0.400,5,5,1,2,1,0,0,1,0,0,0,0,0,0,0.273,50854,2021,20210630
0.200,6,5,2,1,1,0,0,0,0,0,1,0,1,0,0.271,50854,2021,20210701
0.000,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.264,50854,2021,20210702
0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0.262,50854,2021,20210704
0.400,5,5,1,2,1,0,0,0,0,0,0,0,0,1,0.265,50854,2021,20210705
